"location","ams_code","year","pop"
"Aalsmeer",11264,1869,3080
"Aalten",11046,1869,6046
"Alblasserdam",11327,1869,3809
"Alkmaar",10527,1869,11427
"Almelo",11053,1869,4132
"Alphen aan den Rijn",10517,1869,3170
"Hardenberg",10174,1869,7042
"Amersfoort",10948,1869,13298
"Amsterdam",11150,1869,266776
"Apeldoorn",11075,1869,12661
"Appingedam",10886,1869,3596
"Arnhem",10795,1869,32325
"Assen",10522,1869,6883
"Assendelft",11373,1869,3138
"Asten",10478,1869,3157
"Dedemsvaart",11190,1869,5885
"Baarn",11411,1869,2511
"Barendrecht",10943,1869,2866
"Barneveld",10906,1869,6174
"Voorthuizen",10906,1869,6174
"Beek",11374,1869,2464
"Reuver",10195,1869,1620
"Beilen",10520,1869,3906
"Bemmel",10744,1869,4842
"Schoonhoven",10962,1869,2287
"Bergen",11424,1869,1232
"Bergen op Zoom",11037,1869,9354
"Bergeijk",11160,1869,1747
"Bergschenhoek",10445,1869,1028
"Berkel en Rodenrijs",10139,1869,1553
"Berkel-Enschot",11132,1869,1109
"Best",10442,1869,1909
"Beuningen",10417,1869,1756
"Beverwijk",10272,1869,3113
"Bladel",11006,1869,3396
"Bleiswijk",10994,1869,1460
"Bodegraven",11091,1869,3030
"Borne",10326,1869,3578
"Boskoop",10419,1869,2348
"Bovenkarspel",10945,1869,1347
"Boxmeer",11227,1869,2072
"Boxtel",10083,1869,4802
"Breda",10154,1869,15197
"Breukelen",11149,1869,797
"Brielle",10232,1869,4058
"Eerbeek",10798,1869,6339
"Brunssum",10533,1869,1000
"Bunschoten Spakenburg",11343,1869,1688
"Bussum",10281,1869,1130
"Capelle aan den IJssel",11248,1869,2244
"Castricum",11287,1869,1329
"Coevorden",10383,1869,2701
"Cuijk",10023,1869,2192
"Culemborg",10342,1869,18434
"Dalfsen",11007,1869,5286
"De Bilt",10168,1869,2030
"Bilthoven",10168,1869,2030
"Delft",10928,1869,22002
"Delfzijl",10976,1869,5243
"De Lier",10241,1869,883
"Den Helder",10285,1869,18739
"Julianadorp",10285,1869,18739
"Deurne",10379,1869,4291
"Deventer",10899,1869,17827
"Werkendam",10116,1869,1867
"Didam",10153,1869,3359
"Diemen",11039,1869,918
"Doesburg",10327,1869,4460
"Doetinchem",10396,1869,2383
"Dokkum",10198,1869,4519
"Dongen",11412,1869,3879
"Doorn",10213,1869,1180
"Dordrecht",11157,1869,24798
"Driebergen-Rijsenburg",10777,1869,3224
"Drunen",10428,1869,2628
"Druten",10068,1869,4251
"Duiven",11028,1869,2663
"Echt",10941,1869,4174
"Volendam",10884,1869,5152
"Ede",10743,1869,11670
"Lunteren",10743,1869,11670
"Bennekom",10743,1869,11670
"Eibergen",10436,1869,5220
"Eindhoven",11298,1869,3223
"Elburg",11113,1869,2491
"Elst",11188,1869,4878
"Emmen",11180,1869,5943
"Klazienaveen",11180,1869,5943
"Enkhuizen",10729,1869,5377
"Enschede",10364,1869,5072
"Epe",10940,1869,7459
"Vaassen",10940,1869,7459
"Ermelo",10732,1869,5029
"Nunspeet",10732,1869,5029
"Etten-Leur",10750,1869,5496
"Franeker",11226,1869,6481
"Geldermalsen",10881,1869,2308
"Geldrop",10529,1869,2162
"Geleen",10048,1869,2229
"Gemert",10277,1869,4920
"Ulft",10260,1869,5743
"Genemuiden",10746,1869,2237
"Rijen",11375,1869,2566
"Goes",10674,1869,6744
"Goirle",10971,1869,1417
"Goor",10076,1869,2229
"Gorinchem",10942,1869,9057
"Gouda",10302,1869,16009
"Groesbeek",10616,1869,3657
"Groningen",10426,1869,37984
"Haaksbergen",11435,1869,4692
"Haarlem",10357,1869,30989
"Hoofddorp",11387,1869,11283
"Nieuw Vennep",11387,1869,11283
"Badhoevedorp",11387,1869,11283
"Halsteren",10387,1869,2494
"Harderwijk",10786,1869,6336
"Hardinxveld Giessendam",10167,1869,3619
"Haren",11058,1869,3126
"Harlingen",10909,1869,9945
"Joure",10022,1869,6275
"Hattem",10673,1869,2704
"Heemskerk",10679,1869,1317
"Heemstede",11288,1869,2844
