"city","ams_code","year","pop"
"Aalsmeer",11264,1869,3080
"Aalsmeer",11264,1870,3144
"Aalsmeer",11264,1871,3207
"Aalsmeer",11264,1872,3270
"Aalsmeer",11264,1873,3334
"Aalsmeer",11264,1874,3398
"Aalsmeer",11264,1875,3461
"Aalsmeer",11264,1876,3524
"Aalsmeer",11264,1877,3588
"Aalsmeer",11264,1878,3652
"Aalsmeer",11264,1879,3715
"Aalsmeer",11264,1880,3792
"Aalsmeer",11264,1881,3869
"Aalsmeer",11264,1882,3946
"Aalsmeer",11264,1883,4023
"Aalsmeer",11264,1884,4100
"Aalsmeer",11264,1885,4177
"Aalsmeer",11264,1886,4254
"Aalsmeer",11264,1887,4331
"Aalsmeer",11264,1888,4408
"Aalsmeer",11264,1889,4485
"Aalsmeer",11264,1890,4509
"Aalsmeer",11264,1891,4533
"Aalsmeer",11264,1892,4558
"Aalsmeer",11264,1893,4582
"Aalsmeer",11264,1894,4606
"Aalsmeer",11264,1895,4630
"Aalsmeer",11264,1896,4654
"Aalsmeer",11264,1897,4679
"Aalsmeer",11264,1898,4703
"Aalsmeer",11264,1899,4727
"Aalsmeer",11264,1900,4762
"Aalsmeer",11264,1901,4798
"Aalsmeer",11264,1902,4834
"Aalsmeer",11264,1903,4869
"Aalsmeer",11264,1904,4904
"Aalsmeer",11264,1905,4940
"Aalsmeer",11264,1906,4976
"Aalsmeer",11264,1907,5011
"Aalsmeer",11264,1908,5046
"Aalsmeer",11264,1909,5082
"Aalsmeer",11264,1910,5192
"Aalsmeer",11264,1911,5302
"Aalsmeer",11264,1912,5413
"Aalsmeer",11264,1913,5523
"Aalsmeer",11264,1914,5633
"Aalsmeer",11264,1915,5743
"Aalsmeer",11264,1916,5853
"Aalsmeer",11264,1917,5963
"Aalsmeer",11264,1918,6074
"Aalsmeer",11264,1919,6184
"Aalsmeer",11264,1920,6294
"Aalsmeer",11264,1921,6521
"Aalsmeer",11264,1922,6749
"Aalsmeer",11264,1923,6976
"Aalsmeer",11264,1924,7203
"Aalsmeer",11264,1925,7430
"Aalsmeer",11264,1926,7658
"Aalsmeer",11264,1927,7885
"Aalsmeer",11264,1928,8112
"Aalsmeer",11264,1929,8340
"Aalsmeer",11264,1930,8567
"Aalten",11046,1869,6046
"Aalten",11046,1870,6100
"Aalten",11046,1871,6155
"Aalten",11046,1872,6210
"Aalten",11046,1873,6264
"Aalten",11046,1874,6318
"Aalten",11046,1875,6373
"Aalten",11046,1876,6428
"Aalten",11046,1877,6482
"Aalten",11046,1878,6536
"Aalten",11046,1879,6591
"Aalten",11046,1880,6610
"Aalten",11046,1881,6629
"Aalten",11046,1882,6648
"Aalten",11046,1883,6667
"Aalten",11046,1884,6686
"Aalten",11046,1885,6705
"Aalten",11046,1886,6724
"Aalten",11046,1887,6743
"Aalten",11046,1888,6762
"Aalten",11046,1889,6781
"Aalten",11046,1890,6846
"Aalten",11046,1891,6910
"Aalten",11046,1892,6974
"Aalten",11046,1893,7039
"Aalten",11046,1894,7104
"Aalten",11046,1895,7168
"Aalten",11046,1896,7232
"Aalten",11046,1897,7297
"Aalten",11046,1898,7362
"Aalten",11046,1899,7426
"Aalten",11046,1900,7571
"Aalten",11046,1901,7716
"Aalten",11046,1902,7861
"Aalten",11046,1903,8006
"Aalten",11046,1904,8151
"Aalten",11046,1905,8296
"Aalten",11046,1906,8441
"Aalten",11046,1907,8586
"Aalten",11046,1908,8731
"Aalten",11046,1909,8876
"Aalten",11046,1910,8996
"Aalten",11046,1911,9117
"Aalten",11046,1912,9237
"Aalten",11046,1913,9357
"Aalten",11046,1914,9477
"Aalten",11046,1915,9598
"Aalten",11046,1916,9718
"Aalten",11046,1917,9838
"Aalten",11046,1918,9958
"Aalten",11046,1919,10079
"Aalten",11046,1920,10199
"Aalten",11046,1921,10299
"Aalten",11046,1922,10398
